Column,mean,std
IN[1],0.07460176,0.011475380435690938
IN[2],0.07077485,0.008049129405680713
IN[4],0.07276431000000001,0.00645847593695152
IN[8],0.07024596,0.007994861609809141
IN[16],0.08162829999999997,0.012699735408442351
IN[32],0.07442670000000001,0.008849717859452877
IN[64],0.08292523999999997,0.010652697410686007
IN[128],0.07655470000000003,0.00720060955402353
IN[256],0.08280399999999999,0.015892183327318208
IN[512],0.08694439999999995,0.016182846918383623
IN[1024],0.07996651999999999,0.010375201417521565
IN[1536],0.099785,0.014730287421335387
IN[2048],0.09909777999999997,0.015999335678494004
IN[2560],0.11068808,0.018225124793287674
IN[3072],0.13393085,0.017165541364338267
IN[3584],0.13530554,0.017222870758970527
IN[4096],0.13566433999999997,0.0198732556295534
IN[4608],0.12756996999999998,0.016984497189998612
IN[5120],0.14627745000000003,0.018810042760558532
IN[5632],0.13073052000000002,0.018815538055897557
IN[6144],0.14227675000000006,0.02135737326298448
IN[6656],0.13788612,0.01945252510693559
IN[7168],0.15985561000000004,0.02068578787569578
IN[7680],0.16511192000000002,0.01843046198014624
IN[8192],0.14809468000000003,0.02052825252905287
IN[8704],0.1691967,0.021092033329906792
IN[9216],0.18006856000000002,0.014531000143767871
IN[9728],0.17005936000000005,0.020996095731109127
IN[10240],0.17806874999999994,0.02497117928647085
